,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,hpl,year2,Good_seller
3306,2018,25000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,59.31089743589743,4072324,0
3307,2016,90000,Diesel,Individual,Automatic,First Owner,26.59,1248,74.0,5,59.294871794871796,4064256,0
3308,2016,22000,Petrol,Individual,Automatic,First Owner,21.9,624,37.48,4,60.064102564102555,4064256,0
3309,2014,120000,Diesel,Individual,Manual,First Owner,25.0,1396,69.0,5,49.4269340974212,4056196,0
3310,2013,100000,Diesel,Individual,Manual,Second Owner,22.1,1248,76.9,5,61.618589743589745,4052169,0
3311,2008,120000,Diesel,Individual,Manual,Second Owner,19.09,1396,69.0,5,49.4269340974212,4032064,0
3312,2014,70000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5,59.294871794871796,4056196,0
3313,2015,24700,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7,64.24965580541533,4060225,0
3314,2008,100000,Petrol,Individual,Manual,Third Owner,18.0,995,62.0,5,62.311557788944725,4032064,0
3315,2019,10000,Petrol,Individual,Manual,First Owner,20.89,1197,81.8,5,68.3375104427736,4076361,0
3316,2017,43526,Diesel,Dealer,Manual,First Owner,16.0,2179,140.0,7,64.24965580541533,4068289,0
3317,2012,55885,Petrol,Dealer,Manual,First Owner,16.25,1198,75.0,5,62.60434056761269,4048144,0
3318,2019,16034,Diesel,Dealer,Manual,First Owner,21.7,1498,98.96,5,66.06141522029372,4076361,0
3319,2012,156040,Diesel,Dealer,Manual,First Owner,20.0,1399,68.0,5,48.60614724803431,4048144,0
3320,2017,20000,Diesel,Individual,Manual,First Owner,27.39,1248,74.0,5,59.294871794871796,4068289,0
3321,2017,46000,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,5,68.3375104427736,4068289,0
3322,2016,50000,Petrol,Individual,Manual,Third Owner,15.41,1598,103.2,5,64.58072590738423,4064256,0
3323,2018,5000,Petrol,Individual,Manual,First Owner,21.79,998,67.05,5,67.18436873747495,4072324,0
3324,2017,42000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,59.42211055276381,4068289,0
3325,2011,68519,Petrol,Dealer,Manual,First Owner,16.2,995,62.1,5,62.41206030150754,4044121,0
3326,2019,30000,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,5,66.06141522029372,4076361,0
3327,2011,85000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,48.60614724803431,4044121,0
3328,2010,100000,Petrol,Individual,Manual,Fourth & Above Owner,14.0,796,37.5,5,47.1105527638191,4040100,0
3329,2014,100000,Petrol,Individual,Manual,Second Owner,19.1,1197,85.8,5,71.67919799498746,4056196,0
3330,2018,22966,Petrol,Dealer,Manual,First Owner,23.84,1199,84.48,5,70.45871559633028,4072324,0
3331,2014,80000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7,24.61355529131986,4056196,0
3332,2012,80000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5,59.294871794871796,4048144,0
3333,2014,2350,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,67.81326781326781,4056196,0
3334,2011,50000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,58.16582914572864,4044121,0
3335,2010,58000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,58.16582914572864,4040100,0
3336,2006,80000,Petrol,Individual,Manual,Second Owner,16.9,1497,100.0,5,66.8002672010688,4024036,0
3337,2018,60000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7,46.88546550569324,4072324,0
3338,2019,35000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5,68.38763575605681,4076361,0
3339,2019,59872,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,24.61355529131986,4076361,0
3340,2012,110000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,58.16582914572864,4048144,0
3341,2016,91182,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,24.61355529131986,4064256,0
3342,2012,100000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5,63.581661891117484,4048144,0
3343,2002,80000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4,46.482412060301506,4008004,0
3344,2012,70000,Diesel,Individual,Manual,Third Owner,21.12,1248,88.8,5,71.15384615384615,4048144,0
3345,2017,59500,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5,67.17434869739479,4068289,0
3346,2000,100000,CNG,Individual,Manual,Second Owner,10.9,796,74.0,8,92.96482412060301,4000000,0
3347,2016,45000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,70.91346153846153,4064256,0
3348,2011,75500,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5,64.4699140401146,4044121,0
3349,2016,46000,Diesel,Individual,Manual,Second Owner,24.3,1248,88.5,5,70.91346153846153,4064256,0
3350,2013,60000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,59.42211055276381,4052169,0
3351,2009,60000,Petrol,Individual,Automatic,Second Owner,15.0,1396,100.0,5,71.63323782234957,4036081,0
3352,2014,40523,Petrol,Dealer,Manual,Second Owner,18.5,1197,82.85,5,69.21470342522974,4056196,0
3353,2015,120000,Diesel,Individual,Manual,Second Owner,15.1,2179,140.0,7,64.24965580541533,4060225,0
3354,2018,25000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5,69.42355889724311,4072324,0
3355,2017,42000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,69.42355889724311,4068289,0
3356,2015,80000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,69.45697577276525,4060225,0
3357,2011,60000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5,67.23446893787575,4044121,0
3358,2013,35000,Petrol,Individual,Automatic,Second Owner,14.3,1598,103.5,5,64.76846057571966,4052169,0
3359,2008,120000,Diesel,Individual,Manual,First Owner,12.2,1948,68.0,9,34.907597535934286,4032064,0
3360,2015,120000,Diesel,Individual,Manual,Second Owner,20.34,1498,103.2,5,68.89185580774367,4060225,0
3361,2009,35000,Petrol,Individual,Manual,Third Owner,19.81,1086,68.05,5,62.661141804788215,4036081,0
3362,2007,120000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,58.16582914572864,4028049,0
3363,2009,110000,Diesel,Individual,Manual,First Owner,18.9,1248,74.0,5,59.294871794871796,4036081,0
3364,2011,90000,Diesel,Individual,Manual,Third Owner,16.2,1493,110.0,5,73.67716008037509,4044121,0
3365,2007,60000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,58.16582914572864,4028049,0
3366,2010,50000,Petrol,Individual,Manual,First Owner,15.0,1586,104.68,5,66.00252206809584,4040100,0
3367,2017,25000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,68.50459482038428,4068289,0
3368,2007,80000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5,58.16582914572864,4028049,0
3369,2017,80000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,7,55.07113354749885,4068289,0
3370,2015,70000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,7,40.336808340016034,4060225,0
3371,2012,27500,Petrol,Individual,Manual,First Owner,18.5,1197,82.9,5,69.25647451963242,4048144,0
3372,2013,110000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,8,40.336808340016034,4052169,0
3373,2010,120000,Petrol,Individual,Manual,First Owner,15.7,1390,75.0,5,53.956834532374096,4040100,0
3374,2016,70000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,70.91346153846153,4064256,0
3375,2007,140000,Petrol,Individual,Manual,First Owner,17.7,1497,78.0,5,52.104208416833664,4028049,0
3376,2017,40000,Petrol,Individual,Manual,First Owner,20.89,1197,81.8,5,68.3375104427736,4068289,0
3377,2019,20000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5,69.42355889724311,4076361,0
3378,2020,15000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,70.91346153846153,4080400,0
3379,2006,35000,Petrol,Individual,Manual,First Owner,18.9,1248,74.0,5,59.294871794871796,4024036,0
3380,2019,16000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,70.05838198498748,4076361,0
3381,2005,130000,Petrol,Individual,Manual,First Owner,13.0,1343,90.0,5,67.01414743112436,4020025,0
3382,2012,118000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7,63.345571363010556,4048144,0
3383,2013,50000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.8,7,71.15384615384615,4052169,0
3384,2016,60000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,61.03678929765886,4064256,0
3385,2014,147000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5,68.36257309941521,4056196,0
3386,2014,100000,Petrol,Individual,Manual,Third Owner,19.1,1197,85.8,5,71.67919799498746,4056196,0
3387,2017,55000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,70.91346153846153,4068289,0
3388,2010,64000,Diesel,Individual,Manual,Third Owner,21.1,1248,73.9,5,59.21474358974359,4040100,0
3389,2002,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5,60.422960725075534,4008004,0
3390,2016,50000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,70.91346153846153,4064256,0
3391,2018,30000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,67.17434869739479,4072324,0
3392,2004,150000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,5,60.422960725075534,4016016,0
3393,2016,24177,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,74.35037720033529,4064256,0
3394,2012,80000,Diesel,Individual,Manual,First Owner,16.1,1405,70.0,5,49.8220640569395,4048144,0
3395,2006,150000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5,67.23446893787575,4024036,0
3396,2015,120000,Diesel,Individual,Manual,Second Owner,21.04,1461,83.8,7,57.35797399041752,4060225,0
3397,2012,121779,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,8,55.07113354749885,4048144,0
3398,2017,56000,Diesel,Individual,Manual,First Owner,27.39,1248,74.0,5,59.294871794871796,4068289,0
3399,2008,100000,Petrol,Individual,Manual,Fourth & Above Owner,15.0,1586,104.68,5,66.00252206809584,4032064,0
3400,2018,12000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,68.3375104427736,4072324,0
3401,2017,15381,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,70.91346153846153,4068289,0
3402,2011,5000,Diesel,Individual,Manual,First Owner,13.6,2523,63.0,7,24.970273483947683,4044121,0
3403,2014,40000,Diesel,Individual,Manual,First Owner,19.01,1461,108.5,5,74.26420260095824,4056196,0
3404,2016,35000,CNG,Individual,Manual,Second Owner,26.6,998,58.16,5,58.276553106212425,4064256,0
3405,2018,10000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5,67.18436873747495,4072324,0
3406,2019,10000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7,64.24965580541533,4076361,0
3407,2018,25000,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,5,68.3375104427736,4072324,0
3408,2017,50000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,67.13426853707415,4068289,0
3409,2018,30000,Petrol,Individual,Manual,First Owner,17.0,1198,108.5,5,90.56761268781302,4072324,0
3410,2015,23000,Diesel,Individual,Manual,First Owner,23.9,1582,126.2,5,79.7724399494311,4060225,0
3411,2019,15000,Diesel,Individual,Manual,First Owner,16.55,2498,105.0,6,42.03362690152122,4076361,0
3412,2018,5000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,5,67.13426853707415,4072324,0
3413,2015,15000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,71.12179487179488,4060225,0
3414,2020,20000,Diesel,Individual,Manual,First Owner,22.1,1396,88.7,5,63.53868194842408,4080400,0
3415,2015,50000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,65.81441922563418,4060225,0
3416,2017,40000,Petrol,Individual,Manual,Second Owner,18.16,1196,86.8,5,72.5752508361204,4068289,0
3417,2007,70000,Petrol,Individual,Manual,Third Owner,18.2,1061,64.0,5,60.32045240339303,4028049,0
3418,2017,15000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5,67.17434869739479,4068289,0
3419,2016,10000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,68.50459482038428,4064256,0
3420,2018,25000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,70.91346153846153,4072324,0
3421,2013,50000,Petrol,Individual,Manual,Third Owner,17.01,1591,121.3,5,76.24135763670648,4052169,0
3422,2011,70000,Petrol,Individual,Manual,First Owner,17.6,1496,88.7,5,59.291443850267385,4044121,0
3423,2020,5000,Petrol,Individual,Automatic,First Owner,20.89,1197,81.8,5,68.3375104427736,4080400,0
3424,2009,60000,Petrol,Individual,Manual,First Owner,19.0,998,66.1,5,66.2324649298597,4036081,0
3425,2007,74800,Petrol,Individual,Manual,Second Owner,18.2,998,67.1,5,67.23446893787575,4028049,0
3426,2007,120000,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,5,52.104208416833664,4028049,0
3427,2010,80000,Petrol,Individual,Manual,Third Owner,17.5,1298,85.8,5,66.10169491525424,4040100,0
3428,2013,120000,Diesel,Individual,Manual,Second Owner,15.1,2179,140.0,7,64.24965580541533,4052169,0
3429,2019,20000,Petrol,Individual,Manual,First Owner,17.0,1197,108.6,5,90.72681704260651,4076361,0
3430,2009,70000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5,63.14797360980208,4036081,0
3431,2012,40000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5,67.23446893787575,4048144,0
3432,2011,100000,Petrol,Individual,Manual,Second Owner,21.1,1197,85.8,5,71.67919799498746,4044121,0
3433,2012,123000,Petrol,Individual,Manual,First Owner,18.6,1197,85.8,5,71.67919799498746,4048144,0
3434,2012,77000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5,79.84829329962074,4048144,0
3435,2019,7000,Petrol,Individual,Manual,First Owner,18.78,999,75.0,5,75.07507507507508,4076361,0
3436,2017,70000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,61.03678929765886,4068289,0
3437,2011,120000,Diesel,Individual,Manual,Third Owner,23.0,1396,90.0,5,64.4699140401146,4044121,0
3438,2011,70000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5,62.311557788944725,4044121,0
3439,2011,105000,Petrol,Individual,Manual,First Owner,17.0,1497,118.0,5,78.8243152972612,4044121,0
3440,2012,109322,Petrol,Individual,Manual,Second Owner,16.36,1495,93.7,5,62.675585284280935,4048144,0
3441,2013,120000,Diesel,Individual,Manual,First Owner,21.64,1461,84.8,5,58.04243668720054,4052169,0
3442,2018,35000,Petrol,Individual,Manual,First Owner,24.0,1199,83.81,5,69.8999165971643,4072324,0
3443,2017,70000,Diesel,Individual,Manual,Second Owner,23.65,1248,88.5,5,70.91346153846153,4068289,0
3444,2004,100000,Diesel,Individual,Manual,Fourth & Above Owner,10.5,2179,120.0,7,55.07113354749885,4016016,0
3445,2015,20000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,67.13426853707415,4060225,0
3446,2004,90000,Petrol,Individual,Automatic,Second Owner,18.9,1248,74.0,5,59.294871794871796,4016016,0
3447,2011,60000,Diesel,Individual,Manual,First Owner,20.3,1248,75.0,5,60.09615384615385,4044121,0
3448,2009,70000,Petrol,Individual,Manual,Second Owner,17.3,1061,64.0,5,60.32045240339303,4036081,0
3449,2015,40000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5,67.17434869739479,4060225,0
3450,2017,34000,Diesel,Individual,Manual,Second Owner,28.4,1248,74.02,5,59.31089743589743,4068289,0
3451,2018,10000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5,70.05838198498748,4072324,0
3452,2015,80000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7,24.61355529131986,4060225,0
3453,2006,100000,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,5,52.104208416833664,4024036,0
3454,2016,25000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,68.50459482038428,4064256,0
3455,2009,52000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5,63.14797360980208,4036081,0
3456,2013,63000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,59.294871794871796,4052169,0
3457,2009,90000,Petrol,Individual,Manual,Second Owner,19.0,998,66.1,5,66.2324649298597,4036081,0
3458,2017,60000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,70.05838198498748,4068289,0
3459,2011,35000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,58.16582914572864,4044121,0
3460,2010,110000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0,5,48.60614724803431,4040100,0
3461,2017,61000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,59.294871794871796,4068289,0
3462,2013,66000,Petrol,Individual,Manual,First Owner,14.7,796,37.0,8,46.482412060301506,4052169,0
3463,2018,80000,Petrol,Individual,Manual,First Owner,20.62,1198,67.0,7,55.926544240400666,4072324,0
3464,2017,27000,Diesel,Individual,Manual,Second Owner,19.67,1582,126.2,5,79.7724399494311,4068289,0
3465,2011,139000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5,67.23446893787575,4044121,0
3466,2008,10000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,46.482412060301506,4032064,0
3467,2016,30000,Diesel,Individual,Manual,First Owner,21.7,1498,98.96,5,66.06141522029372,4064256,0
3468,2014,125000,Diesel,Individual,Automatic,First Owner,22.32,1582,126.32,5,79.84829329962074,4056196,0
3469,2018,45000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,59.31089743589743,4072324,0
3470,2011,30000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5,62.311557788944725,4044121,0
3471,2010,80500,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,58.16582914572864,4040100,0
3472,2014,200000,Diesel,Individual,Manual,First Owner,23.59,1364,67.04,5,49.14956011730206,4056196,0
3473,2013,60000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,24.61355529131986,4052169,0
3474,2004,18000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,46.482412060301506,4016016,0
3475,2006,110000,Diesel,Individual,Manual,Second Owner,20.8,1527,58.0,5,37.98297314996726,4024036,0
3476,2005,90000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,58.16582914572864,4020025,0
3477,2006,120000,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,5,52.104208416833664,4024036,0
3478,2017,127000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,59.31089743589743,4068289,0
3479,2016,65755,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,69.42355889724311,4064256,0
3480,2017,46000,Diesel,Individual,Automatic,First Owner,16.0,2179,140.0,7,64.24965580541533,4068289,0
3481,2017,15000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5,67.81326781326781,4068289,0
3482,2014,60000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,59.294871794871796,4056196,0
3483,2017,15500,Petrol,Individual,Automatic,First Owner,23.95,998,67.1,5,67.23446893787575,4068289,0
3484,2015,120000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5,65.82109479305741,4060225,0
3485,2007,120000,Diesel,Individual,Manual,Third Owner,14.6,2956,63.0,10,21.312584573748307,4028049,0
3486,2007,80000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7,24.970273483947683,4028049,0
3487,2019,40000,Diesel,Individual,Manual,First Owner,17.3,1497,121.0,7,80.82832331329325,4076361,0
3488,2018,15000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,72.5752508361204,4072324,0
3489,2014,80000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,8,40.336808340016034,4056196,0
3490,2010,110000,Diesel,Individual,Automatic,First Owner,11.79,2179,120.0,8,55.07113354749885,4040100,0
3491,2019,20000,Diesel,Individual,Automatic,First Owner,22.0,1582,126.2,5,79.7724399494311,4076361,0
3492,2014,50700,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,49.11743772241993,4056196,0
3493,2013,70000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,5,61.634695579649716,4052169,0
3494,2014,112000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,8,40.336808340016034,4056196,0
3495,2018,35000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,5,62.36930860033726,4072324,0
3496,2017,50000,Diesel,Individual,Manual,First Owner,19.6,1461,108.45,5,74.2299794661191,4068289,0
3497,2009,120000,Diesel,Individual,Manual,Second Owner,12.05,2179,120.0,7,55.07113354749885,4036081,0
3498,2006,90000,Petrol,Individual,Manual,Third Owner,13.4,1794,125.0,5,69.67670011148272,4024036,0
3499,2014,70000,CNG,Individual,Manual,Second Owner,26.3,998,67.1,5,67.23446893787575,4056196,0
3500,2018,20000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,67.06706706706707,4072324,0
3501,2015,60000,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,5,57.35797399041752,4060225,0
3502,2017,60000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7,66.97923643670462,4068289,0
3503,2015,110000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,67.17434869739479,4060225,0
3504,2016,152000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5,63.560171919770774,4064256,0
3505,2013,70000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,24.61355529131986,4052169,0
3506,2018,50000,Petrol,Individual,Manual,First Owner,17.0,1198,108.5,5,90.56761268781302,4072324,0
3507,2011,125000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,59.21474358974359,4044121,0
3508,2016,60000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,72.5752508361204,4064256,0
3509,2014,90000,CNG,Individual,Manual,First Owner,21.94,1196,63.0,5,52.675585284280935,4056196,0
3510,2017,30000,CNG,Individual,Manual,First Owner,21.94,1196,63.0,5,52.675585284280935,4068289,0
3511,2016,90000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8,40.336808340016034,4064256,0
3512,2017,20000,Petrol,Individual,Manual,First Owner,17.0,1198,73.75,5,61.56093489148581,4068289,0
3513,2012,110000,Diesel,Individual,Manual,Third Owner,22.9,1248,74.0,5,59.294871794871796,4048144,0
3514,2012,110000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5,64.4699140401146,4048144,0
3515,2015,120000,Diesel,Individual,Manual,Second Owner,19.67,1582,126.2,5,79.7724399494311,4060225,0
3516,2010,120000,CNG,Individual,Manual,Second Owner,13.2,1495,93.7,5,62.675585284280935,4040100,0
3517,2016,110000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5,63.560171919770774,4064256,0
3518,2015,40000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,74.35037720033529,4060225,0
3519,2012,110000,Diesel,Individual,Manual,Second Owner,19.7,1598,103.6,5,64.83103879849813,4048144,0
3520,2019,20000,Diesel,Individual,Manual,First Owner,16.36,2179,120.0,7,55.07113354749885,4076361,0
3521,2010,60000,Petrol,Individual,Manual,First Owner,18.6,1199,79.4,5,66.22185154295246,4040100,0
3522,2012,35000,Petrol,Individual,Manual,Second Owner,19.0,998,67.1,5,67.23446893787575,4048144,0
3523,2012,45000,Petrol,Individual,Manual,First Owner,25.4,624,38.0,4,60.8974358974359,4048144,0
3524,2016,25000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,74.35037720033529,4064256,0
3525,2014,10000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,68.36257309941521,4056196,0
3526,2018,19000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,67.17434869739479,4072324,0
3527,2019,10000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,69.42355889724311,4076361,0
3528,2019,25000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,6,68.44741235392321,4076361,0
3529,2012,30000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5,65.91478696741855,4048144,0
3530,2014,90000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,24.61355529131986,4056196,0
3531,2017,20000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,70.05838198498748,4068289,0
3532,2018,48000,Diesel,Individual,Manual,First Owner,19.87,1461,83.14,5,56.90622861054072,4072324,0
3533,2009,120000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,7,55.07113354749885,4036081,0
3534,2008,110000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,65.91478696741855,4032064,0
3535,2014,38000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7,63.345571363010556,4056196,0
3536,2004,90000,Petrol,Individual,Manual,Second Owner,13.4,1794,125.0,5,69.67670011148272,4016016,0
3537,2017,43000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,70.91346153846153,4068289,0
3538,2016,26000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5,67.17434869739479,4064256,0
3539,2006,120000,Diesel,Individual,Manual,Second Owner,16.8,1493,110.0,5,73.67716008037509,4024036,0
3540,2008,70000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5,58.16582914572864,4032064,0
3541,2007,120000,Diesel,Individual,Manual,Second Owner,13.93,2956,138.1,7,46.71853856562923,4028049,0
3542,2016,20000,Petrol,Individual,Manual,First Owner,20.73,1373,91.1,5,66.3510560815732,4064256,0
3543,2013,25000,Diesel,Individual,Manual,First Owner,23.57,1396,70.0,5,50.143266475644694,4052169,0
3544,2017,60000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,59.31089743589743,4068289,0
3545,2008,80000,Diesel,Individual,Manual,First Owner,12.2,1948,68.0,10,34.907597535934286,4032064,0
3546,2014,80000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,42.96482412060302,4056196,0
3547,2011,20000,Petrol,Individual,Manual,Second Owner,18.6,1197,85.8,5,71.67919799498746,4044121,0
3548,2019,25000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5,70.05838198498748,4076361,0
3549,2006,70000,Petrol,Individual,Manual,Second Owner,15.9,1298,85.0,5,65.48536209553158,4024036,0
3550,2014,40000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,64.24965580541533,4056196,0
3551,2020,7300,Petrol,Individual,Manual,First Owner,21.01,1197,81.8,5,68.3375104427736,4080400,0
3552,2018,25000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,70.91346153846153,4072324,0
3553,2010,100000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,58.16582914572864,4040100,0
3554,2017,35000,Diesel,Individual,Manual,First Owner,25.32,1198,77.0,6,64.2737896494157,4068289,0
3555,2012,100000,Diesel,Individual,Manual,First Owner,18.9,1248,74.0,5,59.294871794871796,4048144,0
3556,2013,80000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5,79.84829329962074,4052169,0
3557,2010,60000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5,65.91478696741855,4040100,0
3558,2014,110000,Diesel,Individual,Manual,Second Owner,20.14,1498,88.8,5,59.27903871829105,4056196,0
3559,2008,40000,Petrol,Individual,Manual,First Owner,0.0,1086,62.0,5,57.0902394106814,4032064,0
3560,2010,90000,CNG,Individual,Manual,Second Owner,21.4,1586,103.3,5,65.13240857503152,4040100,0
3561,2012,95000,Diesel,Individual,Manual,First Owner,19.7,1598,103.6,5,64.83103879849813,4048144,0
3562,2011,200000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7,24.970273483947683,4044121,0
